City,StateName,2021_Avg_Rent,2022_Avg_Rent,2023_Avg_Rent,2024_Avg_Rent,2025_Avg_Rent,Current_Rent
"Waterloo, IA",IA,974.0,1030.0,1088.0,1148.0,1197.0,1197.0
"Coeur d'Alene, ID",ID,1978.0,2167.0,2163.0,2216.0,2262.0,2262.0
"East Stroudsburg, PA",PA,,1858.0,1944.0,2031.0,2063.0,2063.0
"Pueblo, CO",CO,1264.0,1376.0,1441.0,1497.0,1538.0,1538.0
"Blacksburg, VA",VA,1413.0,1538.0,1641.0,1731.0,1804.0,1804.0
"Wausau, WI",WI,,,,,1370.0,1370.0
"Kahului, HI",HI,3469.0,3648.0,3847.0,4162.0,4099.0,4099.0
"Janesville, WI",WI,,,1326.0,1395.0,1480.0,1480.0
"Tupelo, MS",MS,,,,1331.0,1400.0,1400.0
"Bloomington, IN",IN,1717.0,1865.0,1983.0,2098.0,2182.0,2182.0
"Odessa, TX",TX,1787.0,1904.0,2007.0,2108.0,2172.0,2172.0
"Jackson, MI",MI,,1098.0,1184.0,1258.0,1336.0,1336.0
"State College, PA",PA,1520.0,1622.0,1733.0,1820.0,1913.0,1913.0
"Sebastian, FL",FL,1778.0,2123.0,2230.0,2330.0,2374.0,2374.0
"Madera, CA",CA,,2061.0,2135.0,2258.0,2352.0,2352.0
"Decatur, AL",AL,,,1309.0,1387.0,1446.0,1446.0
"Chambersburg, PA",PA,,,,,1520.0,1520.0
"Vineland, NJ",NJ,,,,,2134.0,2134.0
"Idaho Falls, ID",ID,1611.0,1786.0,1814.0,1870.0,1900.0,1900.0
"Grand Junction, CO",CO,1511.0,1672.0,1759.0,1886.0,1990.0,1990.0
"Elizabethtown, KY",KY,,1352.0,1531.0,1621.0,1644.0,1644.0
"Niles, MI",MI,,,1656.0,1743.0,1860.0,1860.0
"Monroe, MI",MI,,,,,1348.0,1348.0
"Santa Fe, NM",NM,2016.0,2254.0,2421.0,2553.0,2675.0,2675.0
"Concord, NH",NH,,,,,2987.0,2987.0
"Alexandria, LA",LA,,,1107.0,1142.0,1210.0,1210.0
